Model,MSE,RMSE,MAE,R2
Lasso,2798.1934851697188,52.897953506442185,42.85442771664998,0.4718547867276227
Linear Regression,2900.1936284934804,53.85344583676592,42.79409467959994,0.4526027629719196
Ridge,3077.4159388272287,55.474462041801075,46.138857666974516,0.4191529263598657
